0,1,2,3,4
Cade McNamara,MichiganIowa,In School,None,Third-team All-Big Ten (2021)
Graham Mertz,WisconsinFlorida,In School,None,None
Dylan Morris,Washington,In School,None,None
Bo Nix,AuburnOregon,In School,None,Alabama Mr. Football (2018)USA Today All-American (2018)SEC Freshman of the Year (2019)
Spencer Rattler,OklahomaSouth Carolina,In School,None,"Elite 11 MVP2x Big 12 Champion (2019, 2020)Big 12 Championship MVP (2020)First-team All-Big 12 (2020)"
Taulia Tagovailoa,AlabamaMaryland,In School,None,None
Paul Tyson,AlabamaArizona StateClemson,In School,None,2021 CFP National Champion
Harrison Bailey,TennesseeUNLVLouisville,In School,None,None
Carson Beck,Georgia,In School,None,None
Hudson Card,TexasPurdue,In School,None,None
Jacolby Criswell,North CarolinaArkansas,In School,None,2019–20 Arkansas Gatorade Player of the Year
Hunter Dekkers,Iowa State,In School,None,2019–20 Iowa Gatorade Player of the Year
Luke Doty,South Carolina,In School,None,South Carolina's Mr. Football (2019)
Tyler Van Dyke,Miami (FL),In School,None,None
T. J. Finley,LSUAuburnTexas State,In School,None,None
Ethan Garbers,WashingtonUCLA,In School,None,None
Haynes King,Texas A&MGeorgia Tech,In School,None,None
Chandler Morris,OklahomaTCU,In School,None,None
Sol-Jay Maiava,BYU,In School,None,None
Drew Pyne,Notre DameArizona State,In School,None,None
Jeff Sims,Georgia TechNebraska,In School,None,None
C. J. Stroud,Ohio State,2023 Rd. 1,Houston Texans,Elite 11 MVP2021 Heisman Trophy Finalist
Bryce Young,Alabama,2023 Rd. 1,Carolina Panthers,2019–20 California Gatorade Player of the Year2021 CFP National ChampionUSA Today Offensive Player of the Year (2019)USA Today High School All-American(2019)2021 Heisman Trophy Winner
Tyler Buchner,Notre DameAlabama,In School,None,None
Kyron Drones,BaylorVirginia Tech,In School,None,None
Tyler Macon,MissouriAlcorn State,In School,None,None
Drake Maye,North Carolina,In School,None,None
J. J. McCarthy,Michigan,In School,None,2023 Heisman Trophy Finalist
Kyle McCord,Ohio State,In School,None,None
Miller Moss,USC,In School,None,None
Garrett Nussmeier,LSU,In School,None,None
Kaidon Salter,TennesseeLiberty,In School,None,None
Ty Thompson,Oregon,In School,None,None
Brock Vandagriff,Georgia,In School,None,None
Caleb Williams,OklahomaUSC,In School,None,Elite 11 MVPSecond team All-Big 12 (2021)USA Today High School All-American (2019)2022 Heisman Trophy Winner
Drew Allar,Penn State,In School,None,None
Devin Brown,Ohio State,In School,None,None
Nick Evers,OklahomaWisconsin,In School,None,None
Quinn Ewers,Ohio StateTexas,In School,None,None
Katin Houser,Michigan State,In School,None,None
Walker Howard,LSUOle Miss,In School,None,None
Cade Klubnik,Clemson,In School,None,Elite 11 MVPU.S. Army Player of the Year Award(2021)
Maalik Murphy,Texas,In School,None,None
Zach Pyron,Georgia Tech,In School,None,None
Luther Richesson,Cincinnati,In School,None,None
Ty Simpson,Alabama,In School,None,None
Conner Weigman,Texas A&M,In School,None,None
Jackson Arnold,Oklahoma,In School,None,Elite 11 MVP
Pierce Clarkson,Louisville,In School,None,None
Eli Holstein,Alabama,In School,None,None
Avery Johnson,Kansas State,In School,None,None
JJ Kohl,Iowa State,In School,None,None
Kenny Minchey,Notre Dame,In School,None,None
Dante Moore,Oregon,In School,None,None
Malachi Nelson,USC,In School,None,None
Austin Novosad,Oregon,In School,None,None
Chris Parson,Mississippi State,In School,None,None
Malachi Singleton,Arkansas,In School,None,None
Jaxon Smolik*,Penn State,In School,None,None
Christopher Vizzina,Clemson,In School,None,None
Elijah Brown,Stanford,In School,None,None
Jadyn Davis,Michigan,In School,None,None
Dylan Raiola,Nebraska,In School,None,None
Julian Sayin,Alabama,In School,None,Elite 11 MVP
C.J. Carr,Notre Dame,In School,None,None
Daniel Kaelin,Nebraska,In School,None,None
Air Noland,Ohio State,In School,None,None
Demond Williams,Arizona,In School,None,None
Colin Hurley,LSU,In School,None,None
Trever Jackson,Ole Miss,In School,None,None
DJ Lagaway,Florida,In School,None,None
Luke Kromenhoek,Florida State,In School,None,None
Ethan Grunkemeyer,Penn State,In School,None,None
Hauss Hejny,TCU,In School,None,None
Ryan Puglisi,Georgia,In School,None,None
Isaac Wilson,Utah,In School,None,None
Dante Reno,South Carolina,In School,None,None
Michael Hawkins,Oklahoma,In School,None,None
Will Hammond,Texas Tech,In School,None,None
Danny O’Neil,Colorado,In School,None,None
